Number,text,positivewords,negativewords,score_chr, sentimentscore,Why/note,,
222,"We require a table, a listing, of what out TOTAL compensation ACTUALLY is, as compared to those we are related to for questions of Parity. In the absence of that, I am not sure if Parity is or isn't being observed. Once we have that data, and it shows that we are not in Parity, then management must adjust accordingly--they will have no choice, nor will AD. However, If we are in Parity, then we will have no choice. But the data is vital here.","vital, adjust, total, compensation","absence, no choice, is",positive,1,They are giving constructive critism,,
261,"We've never been informed about a location to deliver and pick up uniforms, although I did see a posting at the FAS Alpha station the other day (an office staffed by supervisors) with the AD Student Agencies address.","Informed, although, ","Never, ",neutral,0,They said they weren’t verbally told but did see a posting so it’s a neutral statement ,,
77,"Being tardy to work by missing a bus that was scheduled but never showed caused financial difficulties by calling a cab to get to work and it cost me 25 dollars on top of being reprimanded at work. It can cause stress and dissension at the workplace. If there is no pattern of being late, you should have some leeway, but you auJackatically get written up right now.",Leeway,"Tardy, missing, never, difficulties, cost, reprimanded, stress, dissension, late, ",negative,-5,This is talking about the work being bad ,,
78,I accept having a lunch break on the job when hired and I do not mind if my break is interrupted because there is plenty of time to work in my lunch break during my shift. I also do not to work and extra 1/2 hour each day because of a unpaid lunch break. It is nice to only work 8 hrs a day and leave early than to wait another 30 minutes . traffic is a mess then.,"Mind, plenty, time, nice, early, accept","Interrupted, traffic, mess",positive,3,Although their break is interrupted it’s okay bc they get to work longer and leave early enough to beat traffic ,,
97,meal breaks are important.enough time should be given.,"Important, breaks","Given, more time",negative,-0.05,Giving constructive criticism because lunch breaks are important and the employees should get more time.,,
101,I will be blunt (but politely): United will pay Sunday time and one half when pigs from fly England to New Zealand.,"Politely, ","Pigs, blunt, pay, ",negative,-2,The employee will never expect time and half pay on Sunday’s ,,
114,"There should be a very strict limit to the duration of ANY suspension without pay, for obvious reasons. There is no language about this in the contract.  I tried to get the last Negotiation Committee to specifically address that issue but the SOMEHOW? that and a number of other issues, were not even discussed at the table.","Strict, limit","Suspension, issue, not discussed,",negative,-4,No one wants to discuss an important issue facing employees ,,
129,"To enroll in the Extension school, I suggest to contact your account manager or site supervisor to move forward with the application.For me, it is was a straight forward process and my site supervisor was supportive of that process. It took only about 1 day to complete the process.","Straight, forward, supportive,  complete ",,positive,5,"Very positive, they were able to do the process easy with the help of their supervisor ",,
132,"My site closes for more days than are included in the ""declared winter recess"".  I'm out of luck because no provision was made by the negotiators for this situation because of the restrictive language they agreed to.",,"Closes, days, out of luck, provision, restricted ",negative,-2,They are unable to work due to shady contract that were made.,,
145,"Article 13.5 looks OK to me, as long as requested vacation is approved in timely manner. The management should try to accommodate the request without delay if many officers did not ask time off the same period.","Approved, timely, manner, accommodate",,positive,3,They are saying the new policy is fine only if it follows certain rules can it work.,,
155,"Time-and-a-half for over 40 hours is the law, so we're not being done any favors to have it in the contract. It's something for United to be keeping in mind during the December holiday period, however.http://www.mass.gov/ago/doing-business-in-massachusetts/workplace-rights/wage-and-hour/overtime.html","Keep, mind","Done, any, favors",negative,-1,They are saying the employee is not really offering them much since it’s the law anyways and they need to follow the law,,
202,It takes weeks at the Business School and also its's a tool use by the management to exhibit their discretive power which is soo wrong.   ,,"Weeks, exhibit, discretive, power, wrong ",negative,-3,The process takes too long and the people in charge are not using their power in the right way ,,
204,"Imagine if the parents of AD students knew that those charged with their child's safety at school, in the dorm, and while they sleep were being paid less than those charged with cleaning the restroom. ",,"Paid, less,cleaning ",negative,-4,The cleaning staff is paid less than the employees who watch over the students. Which to this person is very negative.,,
210,Does anyone know if our Union has a clue as to what the AD Wage and Benefit Parity Policy says or what is in the AD guards contract regarding accumulated sick time? It seems likely that they have never read either one. Why haven't they been filing grievances over these disparities. This disparity goes back at least 5 years. FIVE YEARS. What the Hell are they waiting for?,,"Clue, never read, haven’t, grievances, disparities, disparity, years, hell, waiting ",negative,-3,They are saying that the policy in place for sick time hasn’t been read or reviewed by the union and feels like there is a disparity in how the policy works for the guards,,
215,"It seems that there is a ""Declaration of Trust,"" separate from the contract, to which United is agreeing. It would have been good to specify what that is.",Good ,"Seems, separate, specify ",negative,-0.05,"it would be in the interest of United to clarify their agreements with the employees, specifically in the declaration of trust",,
217,"I think from the members' standpoint it's irrelevant what United will pay, because from my recollection the terms of the plan are that for people receiving care at the ""5-star"" clinic networks, there are no premiums, and no copays for most types of visits and procedures, and for care provided elsewhere, there are still no premiums, but copays are typically $40, with $100 copays in special circumstances. It's up to the plan to make that happen.","No copay, no premium. ",Irrelevant,positive,1,There’s no premiums or copays but if there is it ranges from $40-$100,,
227,"It is very late.  The previous Union made a point of delivering the plan to the members at their work site, perhaps to show their membership their concern and efficiency.",,"Late, concern, efficiency ",negative,-3,The previous union was on time and went to their site not this union,,
241,"This did not happen with me. I needed someone to help me to understand my rights and no one was there for me even when I insisted to talk to somebody in the Union (actually, they gave an attitude). I don't think the people in 26 West St. are able to do their job. They like our money but they don't want to help us.",,"No one, insisted, attitude, job, money, help",negative,-5,This person feels like the union just wants their money and aren’t helping them.,,
246,The Shop Stewards should enforce this by ensuring that the Union Reps are available for new hires. It is beneficial to us if the big picture is pained during orientation and the new employee has a clear understanding of rights/benefits of the union.,"Beneficial, clear, understanding, big, picture, new ",Enforce ,positive,2,they need to enforce the new rule that was implemented in a better way.,,
293,"In order to receive due ""dignity and respect"" from management, it is your OBLIGATION to call them on it when the requirement is ignored. A clear violation of that rule will not play well in public and could  invite an unwelcome correction. ","Dignity, respect, clear, rule","Obligation, violation, unwelcome ",positive,1,This person is saying that the public opinion matters and that you have to demand respect ,,
256,"Either way, I have never used sick buy back time, but do understand this before you vote on this item: A lot of jobs nowadays do not pay you for calling in sick.",,"Sick, do, not pay ",negative,-2,A lot of jobs do not pay sick days ,,
269,"Since there's no need for explanation, and there aren't repeated instances at a particular facility, that situation could never be proven if it occurred. Even if it hasn't occurred, the way the contract article is written leaves open the possibility that it could happen with impunity, which is wrong. ",,"Proven, hasn’t, leaves, open, impunity, wrong ",negative,-3,The contract is not clear of what can and cannot happen. ,,
273,"What ""Oral Agreements""?  It is cusJackary to have WRITTEN contract agreements.  There is such a thing as an oral agreement but it must be known just WHO made the Agreement, why it was oral, and what was said. A record is required. Some explanation, please.",,"Oral, agreement, explanation ",negative,-1,This person is unclear about the oral agreement because the way it is written is not clear. ,,
279,"Though it is bit fair that we can buy back 8 hours sick time every two months(at the end), would not it be better if we were allowed to accrue a bit more hours of sick time than current (96 hours)?.","Fair, better, accrue ",,positive,0.5,Overall the  sick time policy is okay but they wish for more hours ,,
303,"The only time that I've seen someone from the Union was when the restaurant workers were on strike. OUR Union reps approached me frequently to enlist my support for the RA people, which I was happy to do. I attended rallies and walked in support of them.However when OUR contract was being negotiated they disappeared. I sent numerous emails to our Union rep and did not receive one reply. They couldn't even extend the courtesy of answering an email from a Union member.","Frequently, enlist, support, happy, ","however, disappeared, reply, one, courtesy, not, couldn't",negative,-2,"This is negativebecause they felt like the union was not being communicative, no response was given. ",,
312,"It is one thing to have contact information, but quite another thing to HAVE actual reliable contact.  And one such contact person is hardly enough for an organization of over two hundred persons, and presumably even more persons if your single contact person has other schools to work.",Reliable,"HAVE, hardly, enough",negative,-3,Not enough people to help them. ,,
318,"Unfortunately, there's nothing in the wording protecting against discrimination by AD, so guards can be vetoed from job opportunities by AD managers for no explained reason, and there can be ""non-disciplinary"" transfers which are due to client racism, sexism, etc.","Protecting, opportunities, client, reasons","Unfortunately, nothing, against, discrimination, vetoed, racism, sexism",negative,-5,The job does not protect security gaurds against discrimiantion,,
343,"We cannot depend on our current Union representation for any other than collecting dues.they have shown no intention of doing anything for us. I reached out to the Union over a week ago regarding United cheating us out of sick time buyback pay and as of today I still have not had a response. We have to take control of our situation, the Union works for us, if they won't pay attention to our needs, let's get rid of them. We have the power to get rid of them.",,"Cannot, dues, no, cheating, sick, not, won't, rid",negative,-4,"The union is not for them, and they dont believe they have their best interest at hand.",,
344,"Though it is bit fair that we can buy back 8 hours sick time every two months(at the end), would not it be better if we were allowed to accrue a bit more hours of sick time than current (96 hours)?.","fair, can, better, more","not, sick",positive,1,It is fair but they wish for more sick time,,
348,Dignity and respect - hah! That does not characterize the behaviors of managers from either United or TBH.,"Dignity, Respect",not ,negative,-4,Clearly not happy about the way the managers are treating them.,,
355,"This is ridiculous.  A ""half tardy""?  How about nine sixteenths 9/16?",,Ridiculous,negative,-2,They are upset because they received a tardy,,
356,"Great resources for resumes, jobs, visa /citizenship, computer training, languages, etc.","Great, resources",,positive,4.5,The resource provided to them was satisfactory,,
368,"This plan might actually be very good compared to what other companies offer their employees. But that's not really the issue, this plan is terrible compared to what we currently have. This was a HUGE giveback by the Union with absolutely nothing gained anywhere else to balance it off. We are substantially worse off in every respect. The Union should be ashamed of themselves for selling us out.","Good, giveback","not, issue, terrible, nothing, worse, ashamed, sell-out",negative,-4,They feel like the union has sold them out,,
373,"Apparently, seniority applies first within the work unit, and so any decisions about increasing or reducing work hours in order to provide 16-hour employees with 24 hours are going to be applied based upon the rankings within the units.",increasing,reducing,neutral,0,This comment is unclear but i feel as though they stand in the middle,,
384,"We will see how this all plays out in January, 2018.  There is really almost no communication about this new plan.  I went to the Union hall on West Street last Friday to get a copy of the new plan booklet. Could not find ANYBODY who had one or knew where one was, despite  being told it was available at this time there. This does not fill me with reverence.",reverence,"no, not, not",negative,-2,there is no communication.,,
387,It seems to me as if union reps. work for themselves not to help us to solve our issues.,,"not, issues, themselves",negative,-3,The union serves its on interests,,
388,"Totally a joke. United never considers that. They go by who they know, who are you relate to.",considers,"never, joke",negative,-4,feels like they are not being taken care of,,
406,AD may have the option of not giving a reason for a transfer but it is extremely COWARDLY of them to actually do that.  In such a case thry ought to be brought to public attention.,,"not, cowardly",negative,-3,They felt mistreated because they were not given a reason,,
409,"It's hard to vote on this. The contract article is fine, the fact that United completely disregards it is both deplorable and short sighted. Perhaps the client (AD) should be made aware the guards don't feel that we are being properly trained to do a good job in an emergency situation. I don't think that they would appreciate United ignoring necessary and contractually mandated training.","fine, good","hard, disregards, deplorable , don't, ignoring",negative,-2,This person feels like they are not being trained properly effecting their work,,
423,I would like that we as union members have to be more knowledge about our rights and discuss our concerns with our union reps. with maturity. We have to be united to gain as much as we can from United or AD. We have to work together and elect the best and brightest among us to solve our pJames lems. Get the evidence and facts before you speak.,"rights, united, gain, together, best, brightest, solve",,neutral,0,I am not sure if this person is being negativeor positive,,
425,From my experience I have never been turned down. and I have been working for United more than ten years.,years,,positive,3,They were always treated fairly,,
430,So wait....it took them close to a YEAR to distribute physical copies of the contract? 61AL is a total scam and doesn't fight employers...61AL is owned by them and does what they are told. Let's find a union that will actually fight for us when we shower them in dues and fat checks from AD for theor sub par 61AL health plan. January 1st 2018 is coming!!,," scam, doesn't, fight, fat, sub-par, told ",negative,-4,The union is not there to help this person,,
448,"The only time that I've seen someone from the Union was when the restaurant workers were on strike. OUR Union reps approached me frequently to enlist my support for the RA people, which I was happy to do. I attended rallies and walked in support of them.However when OUR contract was being negotiated they disappeared. I sent numerous emails to our Union rep and did not receive one reply. They couldn't even extend the courtesy of answering an email from a Union member.","support, happy, attended, courtesy","strike, disappeared, not, couldn't ",negative,-5,The Union was not responsive to the person when they needed help but they were there for the Union when they needed the person,,
456,"The union doesn't seem to have any idea who's been assigned to what job, so it seems doubtful that United is providing information about job postings.",,"doesn't, doubtful",negative,-4,They do not like how unorganized the union is,,
473,"Another loss for guards. We didn't even gain anything for giving up this right. Just rolled over and took it from AD and United like on every other clause. Who cares about a 3.5% raise when real inflation is over 10%. Averaging 16 hours of work is a low bar for qualifying for benefits. For those saying it was never mentioned...start paying attention please...less than 50% of guards even voted on the last contract....in my opinion this was by design with the union purposefully trying to push through their 61AL Health Plan move. If people knew the truth about this, no 2nd or 3rd differential, and how bad the new health coverage fine print is..enough pissed off people would have sent Sara Smith, Ken and company back to the drawing board. We were kept in the dark just long enough so that they could run off with the 100M in the BBSE Health Fund...","gain, right, cares, qualifying, benefits, attention, purposefully","loss, didn't, low, less, bad, pissed, dark, ",negative,-5,The gaurds are getting the short end of the stick,,
474,Very favorable IF we do get paid for the holidays during our regular scheduled work days.,"favorable, do, rights, benefits",,positive,1,This person wants to get paid for the holidays,,
483,"This article diminishes the importance of seniority, one of the basic rights and benefits of union membership.","importance, rights, benefits",diminishes,negative,-2,Union membership should respect people who have been working there longer,,
486,I guess these changes are a move in the right direction. Let's keep up the good work and keep the pressure on Union to be in the same page with our needs and rights. Here is when and where our reps should stand up and fight for us.,"right, good, rights, ","pressure, fight",positive,3,They feel like its a move in the right direction,,
500,"I've never heard of the union asking for records of overtime distribution, even though unfair distribution has been a primary issue among guards for years.",,"unfair, issue",negative,-0.5,This person feels like the union is not doing a good job at taking their considerations,,
